,q1,q2,q3,q4,q5
BEL,7107,16922,22774,28393,35412
BGR,520,2529,3856,5396,8615
CZE,3509,7686,9620,11835,15081
DNK,5625,21383,27631,34019,45108
DEU,4448,16950,23007,29405,38114
EST,1116,7238,10504,13888,19796
IRL,8040,17876,23771,30048,40844
GRC,688,5561,7622,10052,13453
ESP,1035,9449,13840,18526,25461
FRA,4660,14881,19802,24761,32843
HRV,1452,4907,7038,8964,12058
ITA,369,10837,15485,20581,27235
CYP,5458,10982,14772,18826,24901
LVA,980,5098,7554,10290,15258
LTU,1101,5111,7438,10039,15550
LUX,5896,23785,32672,42865,64965
HUN,1229,4331,5674,7363,9544
MLT,3008,10611,14420,18338,26276
NLD,4860,17567,22970,28700,38922
AUT,3525,18114,24050,29661,38331
POL,1814,5338,7115,8974,11975
PRT,2400,6967,9587,12300,17489
ROU,307,2339,3611,5023,7953
SVN,4588,10252,13229,16220,21077
SVK,1702,6262,7927,9548,11336
FIN,8299,17297,22805,28315,35989
SWE,3122,15948,21886,27630,36424
NOR,5761,28130,36463,43810,48971
CHE,8811,28364,37938,48610,68061
